Timestamp,TVE_VA,ME_VA,PE_VA,TVE_VB,ME_VB,PE_VB,TVE_VC,ME_VC,PE_VC,TVE_Vp,ME_Vp,PE_Vp,TVE_IA,ME_IA,PE_IA,TVE_IB,ME_IB,PE_IB,TVE_IC,ME_IC,PE_IC,TVE_Ip,ME_Ip,PE_Ip,FE,RFE,Timestamp,PMU_VA_real,PMU_VA_imag,PMU_VB_real,PMU_VB_imag,PMU_VC_real,PMU_VC_imag,PMU_Vp_real,PMU_Vp_imag,PMU_IA_real,PMU_IA_imag,PMU_IB_real,PM_ IB_imag,PMU_IC_real,PMU_IC_imag,PMU_Ip_real,PMU_Ip_imag,PMU_FREQ,PMU_ROCOF,Timestamp,REF_VA_real,REF_VA_imag,REF_VB_real,REF_VB_imag,RE_ VC_real,REF_VC_imag,REF_Vp_real,PMU_Vp_imag,REF_IA_real,REF_IA_imag,REF_IB_real,REF_IB_imag,REF_IC_real,REF_IC_imag,REF_Ip_real,PMU_Ip_imag,REF_FREQ,REF_ROCOF
3706693797.080000,0.153800,0.031514,0.001505,0.151830,0.028954,0.001490,0.166267,0.039499,0.001615,0.157296,0.033338,0.001537,0.099019,0.015506,0.000978,0.102543,0.021130,0.001003,0.088068,0.012339,0.000872,0.096475,0.016310,0.000951,0.000027,0.000095,3706693797.080000,-69.382286,-5.576424,29.838642,62.842506,39.915409,-57.835140,-69.589737,-5.602282,-4.884920,-0.478616,2.064422,4.549418,2.918401,-4.078379,-4.949407,-0.484568,47.700027,0.000094,3706693797.080000,-69.368740,-5.470265,29.923594,62.779793,39.806245,-57.876658,-69.575070,-5.493486,-4.884628,-0.473765,2.068549,4.546384,2.914485,-4.080419,-4.949058,-0.479783,47.700001,-0.000001
3706693797.100000,0.148671,0.029994,0.001456,0.154361,0.035794,0.001501,0.170736,0.036216,0.001668,0.157953,0.034012,0.001542,0.097825,0.014882,0.000967,0.102057,0.021593,0.000997,0.088899,0.015868,0.000875,0.096171,0.017243,0.000946,0.000042,-0.000009,3706693797.100000,-68.092712,14.432558,46.514126,51.734741,21.777758,-66.810165,-68.300522,14.464198,-4.818761,0.933558,3.275485,3.772323,1.634991,-4.741145,-4.882282,0.946224,47.700039,-0.000018,3706693797.100000,-68.051216,14.527323,46.575070,51.646367,21.658430,-66.822202,-68.254919,14.564561,-4.817139,0.938077,3.278538,3.768241,1.630585,-4.741820,-4.880543,0.950679,47.699997,-0.000009
3706693797.120000,0.146562,0.034037,0.001425,0.160229,0.036223,0.001561,0.166988,0.030208,0.001642,0.157907,0.033473,0.001543,0.096166,0.014075,0.000951,0.102020,0.021700,0.000997,0.087088,0.016657,0.000855,0.095040,0.017531,0.000934,-0.000017,-0.000434,3706693797.120000,-61.155743,33.244118,59.328663,36.334225,1.830662,-70.242836,-61.344612,33.331051,-4.352833,2.268331,4.214785,2.682297,0.215771,-5.010550,-4.410105,2.298569,47.699978,-0.000440,3706693797.120000,-61.087505,33.319909,59.363788,36.228473,1.714797,-70.224534,-61.272602,33.414476,-4.350061,2.272151,4.216541,2.677513,0.211453,-5.009898,-4.407184,2.302284,47.699995,-0.000006
3706693797.140000,0.151319,0.036283,0.001469,0.158134,0.031282,0.001550,0.162965,0.032152,0.001597,0.157457,0.033233,0.001539,0.095457,0.012905,0.000946,0.101353,0.021212,0.000991,0.087156,0.015907,0.000857,0.094630,0.016884,0.000931,-0.000016,-0.000142,3706693797.140000,-49.146442,49.295067,67.221298,17.916010,-18.268543,-67.851402,-49.299858,49.433044,-3.525736,3.414929,4.804480,1.369691,-1.221290,-4.864192,-3.572017,3.460223,47.699978,-0.000149,3706693797.140000,-49.056187,49.349294,67.227954,17.806235,-18.370996,-67.800335,-49.207377,49.492403,-3.522050,3.417821,4.804815,1.364640,-1.225263,-4.862370,-3.568192,3.462962,47.699993,-0.000007
3706693797.160000,0.153177,0.030718,0.001500,0.152009,0.030946,0.001488,0.166798,0.038031,0.001624,0.157348,0.033247,0.001538,0.096335,0.013770,0.000953,0.100338,0.020184,0.000983,0.088074,0.014976,0.000868,0.094856,0.016232,0.000934,0.000017,0.000393,3706693797.160000,-33.057941,61.254482,69.539116,-1.989796,-36.850189,-59.833618,-33.165543,61.434010,-2.406250,4.278245,4.995552,-0.056527,-2.556980,-4.314345,-2.437636,4.334785,47.700012,0.000387,3706693797.160000,-32.955873,61.285189,69.514566,-2.092622,-36.933248,-59.750981,-33.060045,61.464501,-2.401840,4.279948,4.994486,-0.061424,-2.560340,-4.311479,-2.433189,4.336357,47.699995,-0.000006
3706693797.180000,0.148674,0.027328,0.001461,0.152893,0.036415,0.001485,0.171295,0.036281,0.001674,0.157627,0.033349,0.001540,0.095640,0.014296,0.000946,0.100360,0.020234,0.000983,0.087910,0.015567,0.000865,0.094592,0.016676,0.000931,0.000020,-0.000245,3706693797.180000,-14.225575,68.134445,66.090546,-21.728203,-52.372799,-46.850113,-14.280221,68.338623,-1.087074,4.786688,4.772269,-1.478007,-3.680628,-3.406598,-1.101034,4.849803,47.700020,-0.000250,3706693797.180000,-14.122142,68.136538,66.034168,-21.818356,-52.432120,-46.745427,-14.170214,68.337748,-1.082393,4.787029,4.769849,-1.482397,-3.683000,-3.402883,-1.096335,4.850017,47.700000,-0.000004
3706693797.200000,0.147282,0.033078,0.001435,0.159073,0.037033,0.001547,0.167183,0.030744,0.001643,0.157834,0.033604,0.001542,0.095712,0.012743,0.000949,0.102243,0.021222,0.001000,0.088848,0.014322,0.000877,0.095558,0.016196,0.000942,-0.000014,-0.000049,3706693797.200000,5.785841,69.366089,57.158524,-39.661243,-63.551727,-29.976536,5.789882,69.574371,0.322289,4.897974,4.153144,-2.776885,-4.498847,-2.216302,0.326873,4.962475,47.699989,-0.000053,3706693797.200000,5.883426,69.334781,57.075973,-39.734890,-63.581347,-29.862895,5.895171,69.541992,0.326894,4.897042,4.149485,-2.780446,-4.500145,-2.212040,0.331493,4.961361,47.700003,-0.000005
3706693797.220000,0.151806,0.035631,0.001475,0.158120,0.030197,0.001552,0.162301,0.032501,0.001590,0.157396,0.032774,0.001539,0.096446,0.012221,0.000957,0.100871,0.021661,0.000985,0.089177,0.013967,0.000881,0.095499,0.016441,0.000941,-0.000031,0.000166,3706693797.220000,25.315153,64.841805,43.481369,-54.304417,-69.460884,-10.617032,25.379765,65.037796,1.704942,4.602994,3.189382,-3.845501,-4.943933,-0.842119,1.727749,4.663509,47.699978,0.000164,3706693797.220000,25.401741,64.781302,43.383943,-54.355415,-69.455102,-10.503171,25.471493,64.977358,1.709136,4.600799,3.184903,-3.847808,-4.943982,-0.837648,1.731850,4.661116,47.700009,-0.000002
3706693797.240000,0.153862,0.030713,0.001507,0.152269,0.029396,0.001494,0.165180,0.038205,0.001607,0.157104,0.032789,0.001536,0.094457,0.011452,0.000938,0.098792,0.020290,0.000967,0.088290,0.014458,0.000871,0.093853,0.015860,0.000925,0.000000,0.000274,3706693797.240000,42.743057,54.935795,26.196842,-64.445984,-69.609131,9.620351,42.864178,55.106339,2.946263,3.926100,1.960912,-4.595036,-4.978919,0.601976,2.985350,3.977584,47.700008,0.000273,3706693797.240000,42.812671,54.854453,26.092872,-64.466095,-69.567006,9.728463,42.934703,55.022385,2.949605,3.922887,1.956072,-4.595997,-4.977673,0.606224,2.988554,3.974191,47.700008,-0.000001
3706693797.260000,0.149423,0.028021,0.001468,0.153666,0.035140,0.001496,0.170557,0.037994,0.001662,0.157894,0.033732,0.001542,0.094578,0.012744,0.000937,0.100560,0.020252,0.000985,0.088193,0.015057,0.000869,0.094389,0.015983,0.000930,0.000054,-0.000543,3706693797.260000,56.627964,40.471897,6.742302,-69.242676,-63.981174,29.058409,56.792881,40.604118,3.943130,2.923586,0.569998,-4.963329,-4.600884,1.996104,3.995204,2.961770,47.700050,-0.000553,3706693797.260000,56.671416,40.377437,6.636398,-69.228356,-63.908498,29.153654,56.836262,40.502820,3.945365,2.919518,0.564995,-4.962883,-4.598455,1.999800,3.997319,2.957580,47.699996,-0.000010
