Timestamp,TVE_VA,ME_VA,PE_VA,TVE_VB,ME_VB,PE_VB,TVE_VC,ME_VC,PE_VC,TVE_Vp,ME_Vp,PE_Vp,TVE_IA,ME_IA,PE_IA,TVE_IB,ME_IB,PE_IB,TVE_IC,ME_IC,PE_IC,TVE_Ip,ME_Ip,PE_Ip,FE,RFE,Timestamp,PMU_VA_real,PMU_VA_imag,PMU_VB_real,PMU_VB_imag,PMU_VC_real,PMU_VC_imag,PMU_Vp_real,PMU_Vp_imag,PMU_IA_real,PMU_IA_imag,PMU_IB_real,PM_ IB_imag,PMU_IC_real,PMU_IC_imag,PMU_Ip_real,PMU_Ip_imag,PMU_FREQ,PMU_ROCOF,Timestamp,REF_VA_real,REF_VA_imag,REF_VB_real,REF_VB_imag,REF_VC_real,REF_VC_imag,REF_Vp_real,REF_Vp_imag,REF_IA_real,REF_IA_imag,REF_IB_real,REF_IB_imag,REF_IC_real,REF_IC_imag,REF_Ip_real,PMU_Ip_imag,REF_FREQ,REF_ROCOF
3710670361.100000,0.116073,0.040172,0.001089,0.123965,0.041177,0.001169,0.130203,0.038772,0.001243,0.123405,0.040030,0.001167,0.130073,0.001834,0.001301,0.101588,0.013558,0.001007,0.114301,-0.002724,0.001143,0.114991,0.004223,0.001149,-0.000015,-0.000048,3710670361.100000,-66.535690,-20.471519,15.523641,67.823837,51.492596,-47.819885,-66.731400,-20.541174,-4.669950,-1.510103,1.047042,4.883893,3.720472,-3.360875,-4.731295,-1.528956,35.499989,-0.000138,3710670361.100000,-66.531213,-20.390873,15.596495,67.777735,51.413195,-47.865281,-66.728616,-20.455091,-4.671824,-1.504000,1.051816,4.882174,3.716730,-3.365216,-4.732849,-1.523454,35.500004,-0.000090
3710670361.120000,0.118268,0.039220,0.001116,0.121985,0.037709,0.001160,0.130057,0.040778,0.001235,0.123449,0.039229,0.001170,0.127272,0.004148,0.001272,0.105247,0.014146,0.001043,0.115205,-0.007491,0.001150,0.115472,0.003588,0.001154,0.000007,0.000645,3710670361.120000,-3.284180,69.535149,61.829144,-31.903400,-59.125652,-37.983330,-3.300433,69.742805,-0.301171,4.898898,4.470162,-2.228553,-4.180288,-2.767702,-0.304342,4.962845,35.499992,0.000578,3710670361.120000,-3.205352,69.511506,61.768806,-31.963041,-59.148387,-37.894843,-3.217551,69.719270,-0.294927,4.899074,4.467204,-2.232898,-4.183780,-2.763101,-0.298603,4.963015,35.499985,-0.000067
3710670361.140000,0.119278,0.037033,0.001134,0.118177,0.036304,0.001124,0.131676,0.043990,0.001241,0.123068,0.039144,0.001167,0.126561,-0.000692,0.001266,0.106341,0.014634,0.001053,0.118862,-0.006989,0.001187,0.116816,0.002319,0.001168,-0.000025,0.000671,3710670361.140000,68.167778,-14.109854,-46.276318,-51.949921,-22.085352,66.716469,68.372253,-14.147709,4.819680,-0.926566,-3.270242,-3.775562,-1.641348,4.737205,4.882582,-0.939351,35.499989,0.000615,3710670361.140000,68.126510,-14.181870,-46.317887,-51.879020,-21.992876,66.714474,68.328956,-14.221891,4.818537,-0.932672,-3.273738,-3.771563,-1.635840,4.739481,4.881369,-0.945030,35.500013,-0.000057
3710670361.160000,0.117958,0.038413,0.001115,0.120521,0.038810,0.001141,0.131809,0.042833,0.001246,0.123460,0.040038,0.001168,0.132771,0.000549,0.001328,0.106354,0.015028,0.001053,0.120081,-0.004161,0.001200,0.119341,0.003824,0.001193,0.000038,0.000282,3710670361.160000,-30.621059,-62.519245,-38.811676,57.740883,70.111671,4.798479,-30.706844,-62.706444,-2.095836,-4.438042,-2.843697,4.106511,4.996709,0.411748,-2.124034,-4.495721,35.500038,0.000176,3710670361.160000,-30.678969,-62.461068,-38.730749,57.762704,70.087577,4.709079,-30.767723,-62.645465,-2.101715,-4.435231,-2.838945,4.108885,4.997408,0.405767,-2.129313,-4.493013,35.500001,-0.000106
3710670361.180000,0.118663,0.042565,0.001107,0.124173,0.037959,0.001182,0.128820,0.039435,0.001226,0.123855,0.039979,0.001172,0.133831,0.003692,0.001338,0.102446,0.016406,0.001011,0.120621,-0.000962,0.001206,0.118592,0.006370,0.001184,0.000008,0.000063,3710670361.180000,-52.941620,45.210762,65.577805,23.237013,-12.789091,-69.098289,-53.100227,45.336372,-3.777583,3.133755,4.684838,1.732901,-0.843809,-4.942333,-3.826339,3.175473,35.500027,0.000009,3710670361.180000,-52.869016,45.250103,65.580333,23.150692,-12.868729,-69.055324,-53.025857,45.380433,-3.773248,3.138690,4.685819,1.727880,-0.849778,-4.941359,-3.822333,3.179799,35.500019,-0.000054
3710670361.200000,0.119383,0.044832,0.001106,0.126634,0.035650,0.001215,0.125897,0.037421,0.001202,0.123867,0.039308,0.001174,0.132525,0.004272,0.001325,0.103072,0.012691,0.001023,0.112655,-0.000042,0.001127,0.115837,0.005674,0.001157,-0.000007,-0.000582,3710670361.200000,56.958221,40.035976,6.200809,-69.293938,-63.744537,29.572678,57.117035,40.157024,3.974821,2.879551,0.513394,-4.968422,-4.577039,2.046737,4.027318,2.916280,35.499996,-0.000642,3710670361.200000,56.976931,39.955032,6.114439,-69.276723,-63.685118,29.638177,57.141695,40.074165,3.978462,2.874161,0.508248,-4.968314,-4.574732,2.051893,4.030461,2.911454,35.500003,-0.000060
3710670361.220000,0.120044,0.043330,0.001119,0.124208,0.034212,0.001194,0.126209,0.038594,0.001201,0.123416,0.038730,0.001172,0.125619,0.001537,0.001256,0.107707,0.013036,0.001069,0.111782,-0.007600,0.001115,0.114642,0.002383,0.001146,-0.000011,-0.000046,3710670361.220000,24.611616,-65.125046,-68.660263,11.226613,44.494728,54.387112,24.690828,-65.309013,1.800229,-4.566057,-4.940057,0.738119,3.120521,3.923906,1.822991,-4.625915,35.499989,-0.000125,3710670361.220000,24.528080,-65.124334,-68.623334,11.304706,44.542845,54.312655,24.604767,-65.312600,1.794465,-4.568244,-4.938621,0.743303,3.125133,3.920721,1.817645,-4.627891,35.499999,-0.000079
3710670361.240000,0.119102,0.040085,0.001121,0.121758,0.037877,0.001157,0.128642,0.039798,0.001223,0.123172,0.039248,0.001167,0.130488,-0.004384,0.001304,0.109245,0.013519,0.001084,0.116281,-0.006167,0.001161,0.118245,0.001009,0.001182,0.000009,0.000376,3710670361.240000,-69.196098,-7.641977,27.953608,63.712997,41.615997,-56.621422,-69.397850,-7.673247,-4.870006,-0.608330,1.943409,4.601331,3.024822,-3.998276,-4.933867,-0.615463,35.499992,0.000279,3710670361.240000,-69.176895,-7.561351,28.016690,63.656503,41.530186,-56.649733,-69.379530,-7.589256,-4.871009,-0.602005,1.948132,4.598600,3.020363,-4.002032,-4.934541,-0.609623,35.499983,-0.000097
3710670361.260000,0.115506,0.037269,0.001093,0.123619,0.041981,0.001162,0.131744,0.039125,0.001258,0.123632,0.039475,0.001171,0.139089,0.000998,0.001391,0.108635,0.015219,0.001076,0.114251,-0.003363,0.001142,0.120243,0.004279,0.001202,0.000039,-0.000202,3710670361.260000,9.807028,68.919777,54.760639,-42.922779,-65.192032,-26.230244,9.826297,69.126129,0.621550,4.868618,3.973492,-3.026725,-4.625044,-1.935449,0.630800,4.932085,35.500031,-0.000284,3710670361.260000,9.878675,68.883343,54.687747,-42.968369,-65.199462,-26.138001,9.903353,69.087299,0.628314,4.867700,3.969631,-3.030536,-4.627407,-1.930230,0.636699,4.931112,35.499991,-0.000082
3710670361.280000,0.112883,0.037057,0.001066,0.125354,0.044374,0.001172,0.133381,0.036294,0.001283,0.123837,0.039287,0.001174,0.131466,0.005318,0.001314,0.103801,0.016116,0.001025,0.121308,-0.006901,0.001211,0.118365,0.004831,0.001183,-0.000001,-0.000286,3710670361.280000,64.313637,-26.639914,-55.194584,-42.367001,-9.196151,69.665321,64.510651,-26.708309,4.561152,-1.813236,-3.919983,-3.095761,-0.724728,4.960828,4.620240,-1.837647,35.500000,-0.000313,3710670361.280000,64.261387,-26.698568,-55.219702,-42.283515,-9.103442,69.651786,64.453924,-26.773519,4.558523,-1.819129,-3.922523,-3.091242,-0.718769,4.962045,4.617840,-1.843021,35.500001,-0.000028
