InterHarmFreq,Freq_Accuracy,ROCOF_Accuracy
10,99.9997820000436,99.8057
10.5,99.9998160000442,99.8162
11,99.9997760000582,99.7949
11.5,99.9997880000594,99.7496
12,99.9997540000591,99.7087
12.5,99.9998020000436,99.7828
13,99.9997860000171,99.7143
13.5,99.9997739999955,98.7765
14,99.9998020000436,97.3247
14.5,99.9997760000045,98.4569
15,99.9997980000081,99.7845
15.5,99.9997439999898,99.7455
16,99.9996680000398,99.4267
16.5,99.9996320000368,98.933
17,99.999591999951,98.8226
17.5,99.9995839999834,98.577
18,99.999512000039,98.1343
18.5,99.9997820000087,99.5253
19,99.9996439999929,98.6186
19.5,99.9996060000473,98.5344
20,99.9991880000812,96.0805
20.5,99.9993620001786,96.5974
21,99.9997980000363,99.7034
21.5,99.9997580000339,99.7036
22,99.9998040000706,99.7018
22.5,99.9997720001368,99.731
23,99.9997759999776,99.727
23.5,99.9997820000087,99.7266
24,99.9998060000349,99.7528
24.5,99.999810000114,99.7647
25,99.9997779999689,99.8016
25.5,99.9998220000036,99.8678
26,99.9997659999064,99.8327
26.5,99.9997560000195,99.7154
27,99.9996959999514,99.7559
27.5,99.9996799999744,99.7037
28,99.9996179999694,99.6118
28.5,99.9996120002095,99.5931
29,99.99958,99.567
29.5,99.9994940000911,99.5301
30,99.9993800001984,99.492
30.5,99.9993920003162,99.4841
31,99.9993140004116,99.4468
31.5,99.999244000635,99.4201
32,99.9992220006535,99.5011
32.5,99.9991880008282,99.4694
33,99.999176000824,99.5486
33.5,99.9991619993631,99.6119
34,99.999126000909,99.6208
34.5,99.9991380009827,99.6947
35,99.999087999471,99.7377
35.5,99.999100000882,99.8332
36,99.9991660007172,99.8233
36.5,99.9991659997331,99.7318
37,99.9991880004547,99.7163
37.5,99.9991440002739,99.5998
38,99.9992320000768,99.5541
38.5,99.9992319998003,99.5321
39,99.99934599983,99.4718
39.5,99.9993879996328,99.3884
40,99.999413999496,99.4111
40.5,99.9995079992718,99.3244
41,99.9995879991842,99.3691
41.5,99.9996519992205,99.3199
42,99.9997519994246,99.4283
42.5,99.9997219991827,99.3627
43,99.9998120007708,99.3725
43.5,99.9997980007635,99.3848
44,99.9997860010443,99.4122
44.5,99.999699999034,99.394
45,99.9996440005055,99.581
55,99.9995799983032,99.5845
55.5,99.9996659987575,99.5654
56,99.9997240013745,99.4825
56.5,99.9997400011336,99.471
57,99.9997060008879,99.4248
57.5,99.999723999183,99.3773
58,99.9996979991846,99.4104
58.5,99.9996199994984,99.3805
59,99.9995599993136,99.3458
59.5,99.9995699995184,99.4168
60,99.9995260006826,99.4683
60.5,99.9994179996973,99.46
61,99.9992819998421,99.3995
61.5,99.9992280000154,99.5044
62,99.9993020001815,99.5574
62.5,99.9991660003336,99.6384
63,99.9992020005267,99.7438
63.5,99.9992060006034,99.7932
64,99.9992260007275,99.8623
64.5,99.9991760007581,99.8199
65,99.9991839995594,99.8201
65.5,99.9992340007813,99.7467
66,99.999196000997,99.6797
66.5,99.9992380007468,99.662
67,99.999300000574,99.5991
67.5,99.9993360004515,99.6233
68,99.9993099997654,99.5558
68.5,99.999400000348,99.5589
69,99.9994720002851,99.5771
69.5,99.999498000261,99.5585
70,99.999566000191,99.5779
70.5,99.999550000099,99.5908
71,99.99958,99.5737
71.5,99.999602000008,99.6432
72,99.9997140000114,99.6739
72.5,99.9997179999549,99.7334
73,99.9997199999272,99.7574
73.5,99.9997799999296,99.8146
74,99.9997960001305,99.8283
74.5,99.9998100000874,99.8679
75,99.9997960000571,99.8361
75.5,99.9997760001434,99.8184
76,99.9997700000368,99.8091
76.5,99.9998100000988,99.7893
77,99.9998040000392,99.7423
77.5,99.99982000009,99.779
78,99.999766000103,99.7746
78.5,99.99981800004,99.7602
79,99.9998080000307,99.763
79.5,99.9998280000207,99.7873
80,99.9998140000484,99.7563
80.5,99.9998360000197,99.7688
81,99.999799999988,99.7813
81.5,99.9998420000442,99.7805
82,99.9998440000281,99.8162
82.5,99.9998460000616,99.8237
83,99.9998219999893,99.8519
83.5,99.9997639999811,99.825
84,99.9998220000712,99.8032
84.5,99.9998320000269,99.8672
85,99.9998280000722,99.87
85.5,99.9998320000135,99.836
86,99.9997980000525,99.8599
86.5,99.9998180000255,99.8456
87,99.9998040000549,99.8068
87.5,99.999846000037,99.8506
88,99.9998160000147,99.8487
88.5,99.9997680000418,99.7936
89,99.9997740000271,99.8632
89.5,99.9997660000281,99.8312
90,99.9998180000255,99.8681
90.5,99.9998160000442,99.8567
91,99.9998300000442,99.8502
91.5,99.9997700000736,99.8619
92,99.9997980000242,99.8532
92.5,99.9997840000389,99.8648
93,99.9998060000504,99.8543
93.5,99.9998140000484,99.8344
94,99.9998420000442,99.875
94.5,99.9997600000096,99.8206
95,99.9997960000408,99.8644
95.5,99.9998240000423,99.8309
96,99.9998260000244,99.8415
96.5,99.9998340000232,99.7508
97,99.9998020000436,99.6409
97.5,99.9998300000442,98.9463
98,99.9982200003204,85.5425
98.5,99.9987560000995,85.9289
99,99.9994299999886,88.3091
99.5,99.9996540000069,93.8158
100,99.99980000002,99.8089
