Timestamp,TVE_VA,ME_VA,PE_VA,TVE_VB,ME_VB,PE_VB,TVE_VC,ME_VC,PE_VC,TVE_Vp,ME_Vp,PE_Vp,TVE_IA,ME_IA,PE_IA,TVE_IB,ME_IB,PE_IB,TVE_IC,ME_IC,PE_IC,TVE_Ip,ME_Ip,PE_Ip,FE,RFE,Timestamp,PMU_VA_real,PMU_VA_imag,PMU_VB_real,PMU_VB_imag,PMU_VC_real,PMU_VC_imag,PMU_Vp_real,PMU_Vp_imag,PMU_IA_real,PMU_IA_imag,PMU_IB_real,PM_ IB_imag,PMU_IC_real,PMU_IC_imag,PMU_Ip_real,PMU_Ip_imag,PMU_FREQ,PMU_ROCOF,Timestamp,REF_VA_real,REF_VA_imag,REF_VB_real,REF_VB_imag,REF_VC_real,REF_VC_imag,REF_Vp_real,REF_Vp_imag,REF_IA_real,REF_IA_imag,REF_IB_real,REF_IB_imag,REF_IC_real,REF_IC_imag,REF_Ip_real,PMU_Ip_imag,REF_FREQ,REF_ROCOF,F1_Real,F1_Imag,F2_Real,F2_Imag,F3_Real,F3_Imag,F4_Real,F4_Imag,F5_Real,F5_Imag,F6_Real,F6_Imag,F7_Real,F7_Imag,F8_Real,F8_Imag,F9_Real,F9_Imag,F10_Real,F10_Imag,F11_Real,F11_Imag,F12_Real,F12_Imag
3728476885.980000,0.152233,0.034190,0.001483,0.153224,0.034051,0.001494,0.169733,0.032256,0.001666,0.158441,0.033630,0.001548,0.099110,0.015842,0.000978,0.104507,0.024730,0.001015,0.099386,0.024991,0.000962,0.100927,0.021902,0.000985,-0.000011,-0.000011,3728476885.980000,15.859966,-67.758575,-66.571892,20.120264,51.217209,48.081150,15.917403,-67.955971,1.207529,-4.759866,-4.808693,1.357833,3.594305,3.498914,1.222985,-4.821817,47.999989,-0.000013,3728476885.980000,15.754064,-67.758857,-66.519114,20.212796,51.280706,47.980272,15.806869,-67.957676,1.202682,-4.760291,-4.806124,1.362378,3.596770,3.494582,1.217967,-4.821963,47.999999,-0.000002,-0.613509,-1.246876,-2.199680,-2.692690,-0.548127,-0.420746,-3.771992,-1.718483,-0.338057,-0.065939,-3.434570,0.113008,-0.330584,0.090984,-0.902858,0.487397,-0.255594,0.227178,-1.384118,1.938007,-0.126801,0.314508,-0.315269,1.995417
3728476886.000000,0.153255,0.034163,0.001494,0.153495,0.032514,0.001500,0.167486,0.032420,0.001643,0.158169,0.033378,0.001546,0.098245,0.017118,0.000967,0.101534,0.024257,0.000986,0.099673,0.023615,0.000968,0.099805,0.021800,0.000974,-0.000009,-0.000393,3728476886.000000,-1.488284,-69.574112,-59.475811,36.042839,61.566460,33.831810,-1.482811,-69.779282,-0.014172,-4.910700,-4.319845,2.511169,4.351463,2.495103,-0.014632,-4.974475,47.999992,-0.000393,3728476886.000000,-1.591664,-69.548051,-59.402370,36.120261,61.601988,33.719684,-1.590144,-69.753624,-0.018919,-4.909844,-4.316321,2.514817,4.352849,2.490301,-0.019472,-4.973375,48.000002,-0.000001,0.063045,-1.388250,0.239837,-3.468712,0.061599,-0.688243,0.468759,-4.118394,0.044414,-0.341539,0.532594,-3.394931,0.058303,-0.337893,0.199869,-1.006278,0.073261,-0.333989,0.573541,-2.311496,0.086420,-0.327928,0.562857,-1.940129
3728476886.020000,0.154003,0.033157,0.001504,0.151775,0.031942,0.001484,0.168590,0.034218,0.001651,0.158207,0.033358,0.001546,0.096828,0.016205,0.000955,0.100614,0.021619,0.000983,0.099181,0.023457,0.000964,0.098875,0.020600,0.000967,-0.000008,0.000921,3728476886.020000,-18.742928,-67.017609,-48.642403,49.702099,68.047234,17.458824,-18.789660,-67.218254,-1.235021,-4.752851,-3.559536,3.506495,4.835271,1.334513,-1.251295,-4.814497,47.999992,0.000920,3728476886.020000,-18.837432,-66.967145,-48.553107,49.758312,68.052671,17.340553,-18.887272,-67.166715,-1.239356,-4.750901,-3.555320,3.509232,4.835420,1.329541,-1.255691,-4.812294,48.000000,-0.000001,0.723991,-1.186138,2.549310,-2.364455,0.614183,-0.316775,4.061731,-0.826879,0.343631,0.022975,3.235005,1.159334,0.280794,0.196767,0.647974,0.795434,0.137077,0.313258,0.317734,2.360388,-0.044604,0.336162,-0.801602,1.854313
3728476886.040000,0.152578,0.033115,0.001489,0.151277,0.034104,0.001474,0.170858,0.033859,0.001674,0.158274,0.033709,0.001546,0.097832,0.014941,0.000967,0.104463,0.022248,0.001021,0.099489,0.025147,0.000962,0.100528,0.020847,0.000983,0.000040,-0.000607,3728476886.040000,-34.821690,-60.250229,-34.754021,60.239437,70.251015,-0.010233,-34.915981,-60.433964,-2.378136,-4.296374,-2.575841,4.281486,5.015310,0.090093,-2.409242,-4.352099,48.000042,-0.000607,3728476886.040000,-34.899816,-60.178379,-34.653397,60.270030,70.227121,-0.127819,-34.997583,-60.359559,-2.381932,-4.293431,-2.570899,4.283160,5.014133,0.085244,-2.413017,-4.348821,48.000002,-0.000000,1.205964,-0.690594,3.477017,0.021491,0.596526,0.348851,2.041572,3.607397,-0.001390,0.344407,-1.744875,2.960587,-0.297558,0.170409,-1.025950,-0.007706,-0.295020,-0.172865,-1.164306,-2.077657,0.002123,-0.339126,1.027657,-1.739172
3728476886.060000,0.152349,0.033783,0.001485,0.154274,0.034789,0.001503,0.170452,0.032128,0.001674,0.159081,0.033752,0.001554,0.099381,0.016339,0.000980,0.105009,0.024939,0.001020,0.100324,0.024325,0.000973,0.101498,0.021828,0.000991,0.000050,-0.001127,3728476886.060000,-48.711990,-49.697826,-18.683569,66.989891,68.039886,-17.480341,-48.847931,-49.852535,-3.371908,-3.570078,-1.430171,4.787687,4.880147,-1.159935,-3.415893,-3.616280,48.000050,-0.001128,3728476886.060000,-48.769277,-49.608660,-18.576416,66.994585,67.988691,-17.588544,-48.908851,-49.759754,-3.374854,-3.566188,-1.424932,4.787949,4.877829,-1.164400,-3.418730,-3.612105,47.999999,-0.000001,1.389483,-0.024174,2.519897,2.395776,0.025120,0.690531,-2.799959,3.056373,-0.343808,0.020319,-2.581139,-2.268626,-0.027434,-0.341867,0.660038,-0.785554,0.340295,-0.033500,1.847236,1.503151,0.040310,0.336685,-1.237524,1.596598
3728476886.080000,0.153011,0.034084,0.001491,0.155023,0.032414,0.001516,0.167746,0.032303,0.001646,0.158708,0.033400,0.001551,0.099393,0.016764,0.000980,0.104525,0.025569,0.001013,0.099078,0.024275,0.000960,0.100948,0.022285,0.000984,-0.000086,-0.000513,3728476886.080000,-59.540886,-36.022953,-1.437839,69.529816,61.554108,-33.854145,-59.710999,-36.137974,-4.153849,-2.619378,-0.194557,4.992981,4.438329,-2.337176,-4.207948,-2.653161,47.999912,-0.000516,3728476886.080000,-59.574239,-35.921869,-1.332017,69.509384,61.478448,-33.944440,-59.747032,-36.033267,-4.155716,-2.614869,-0.189449,4.991899,4.435006,-2.340870,-4.209620,-2.648426,47.999998,-0.000002,1.229321,0.648147,0.196847,3.471491,-0.569700,0.391304,-3.771923,-1.718489,-0.041724,-0.341859,2.712219,-2.110306,0.321039,0.120712,0.184609,1.009205,-0.255511,0.227051,-2.270788,-0.717622,-0.082297,-0.328896,1.427660,-1.428960
3728476886.100000,0.153751,0.034292,0.001499,0.151520,0.032036,0.001481,0.167692,0.033831,0.001642,0.157741,0.033669,0.001541,0.098381,0.014831,0.000972,0.104827,0.025354,0.001017,0.096269,0.025443,0.000928,0.099693,0.021865,0.000973,-0.000062,0.000047,3728476886.100000,-66.628708,-20.084520,15.901189,67.701942,51.201916,-48.099514,-66.822609,-20.152411,-4.674678,-1.504000,1.053238,4.884501,3.717600,-3.367694,-4.735567,-1.523269,47.999939,0.000046,3728476886.100000,-66.635879,-19.977802,15.996294,67.656649,51.105570,-48.167235,-66.831079,-20.042678,-4.675445,-1.499231,1.057937,4.882190,3.713527,-3.370286,-4.736010,-1.518331,48.000001,-0.000001,0.765092,1.160191,-2.232751,2.665385,-0.635643,-0.271300,0.468676,-4.118417,0.338498,-0.063227,1.564836,3.059443,-0.245863,0.239135,-0.895338,-0.501033,0.073206,-0.333948,2.375544,-0.168800,0.122916,0.316015,-1.595473,1.238860
3728476886.120000,0.151846,0.033619,0.001481,0.150814,0.033415,0.001470,0.169987,0.033511,0.001666,0.157620,0.033701,0.001539,0.098136,0.013561,0.000972,0.103265,0.024524,0.001003,0.096011,0.023501,0.000931,0.098990,0.020436,0.000968,0.000013,0.001439,3728476886.120000,-69.529724,-2.882268,32.239735,61.621151,37.633034,-59.320587,-69.735039,-2.901101,-4.901776,-0.294179,2.234923,4.469068,2.763250,-4.186306,-4.965539,-0.297701,48.000011,0.001438,3728476886.120000,-69.510546,-2.778390,32.319509,61.553111,37.521566,-59.363317,-69.715927,-2.792800,-4.901395,-0.289375,2.238855,4.465729,2.758704,-4.187892,-4.964810,-0.292832,47.999999,-0.000002,0.111478,1.385334,-3.452242,0.414478,-0.111503,-0.682056,4.061644,-0.826825,0.084267,0.333956,-3.298360,0.963588,-0.111711,-0.324349,0.956814,-0.370506,0.137050,0.313278,-2.146637,1.031506,-0.161574,-0.298202,1.738322,-1.029188
3728476886.140000,0.150387,0.033718,0.001465,0.153197,0.033698,0.001494,0.169599,0.032901,0.001664,0.157786,0.033599,0.001541,0.098650,0.015168,0.000975,0.104193,0.025157,0.001011,0.097951,0.022411,0.000953,0.100168,0.020834,0.000980,0.000036,0.000296,3728476886.140000,-68.062065,14.500860,46.550289,51.669113,21.697933,-66.815186,-68.265640,14.532246,-4.821014,0.934074,3.276103,3.772909,1.635455,-4.741887,-4.883602,0.946468,48.000034,0.000294,3728476886.140000,-68.017809,14.595657,46.611734,51.582118,21.579656,-66.829200,-68.220238,14.632538,-4.819370,0.938630,3.279091,3.768647,1.630567,-4.742381,-4.881655,0.951053,47.999998,-0.000002,-0.569738,1.267663,-2.800341,-2.061051,0.516097,-0.459612,2.041553,3.607310,-0.327965,0.105143,-0.328413,-3.420632,0.340913,0.037130,-0.324448,0.973370,-0.294897,-0.172902,1.616233,-1.749262,0.197604,0.275550,-1.853734,0.803177
3728476886.160000,0.152563,0.034862,0.001485,0.154424,0.033066,0.001508,0.167427,0.032942,0.001641,0.158211,0.033885,0.001545,0.099736,0.015903,0.000985,0.106104,0.025049,0.001031,0.098120,0.024456,0.000950,0.101215,0.021706,0.000988,0.000021,0.000084,3728476886.160000,-62.319031,30.970661,57.936199,38.469795,4.398156,-70.112198,-62.507156,31.052471,-4.437313,2.103651,4.111419,2.839722,0.404822,-4.999753,-4.494866,2.131222,48.000023,0.000083,3728476886.160000,-62.251269,31.052345,57.974982,38.369686,4.281666,-70.096231,-62.437944,31.138465,-4.434534,2.107683,4.113314,2.834772,0.399974,-4.998913,-4.491782,2.135200,48.000001,-0.000000,-1.109863,0.836325,-0.630506,-3.419441,0.664661,0.189432,-2.799883,3.056341,-0.125649,-0.320712,3.421630,0.318395,-0.178805,0.292813,-0.543212,-0.870334,0.340249,-0.033473,-0.858841,2.221297,-0.230585,-0.248643,1.939671,-0.564505
