Timestamp,TVE_VA,ME_VA,PE_VA,TVE_VB,ME_VB,PE_VB,TVE_VC,ME_VC,PE_VC,TVE_Vp,ME_Vp,PE_Vp,TVE_IA,ME_IA,PE_IA,TVE_IB,ME_IB,PE_IB,TVE_IC,ME_IC,PE_IC,TVE_Ip,ME_Ip,PE_Ip,FE,RFE,Timestamp,PMU_VA_real,PMU_VA_imag,PMU_VB_real,PMU_VB_imag,PMU_VC_real,PMU_VC_imag,PMU_Vp_real,PMU_Vp_imag,PMU_IA_real,PMU_IA_imag,PMU_IB_real,PM_ IB_imag,PMU_IC_real,PMU_IC_imag,PMU_Ip_real,PMU_Ip_imag,PMU_FREQ,PMU_ROCOF,Timestamp,REF_VA_real,REF_VA_imag,REF_VB_real,REF_VB_imag,REF_VC_real,REF_VC_imag,REF_Vp_real,REF_Vp_imag,REF_IA_real,REF_IA_imag,REF_IB_real,REF_IB_imag,REF_IC_real,REF_IC_imag,REF_Ip_real,PMU_Ip_imag,REF_FREQ,REF_ROCOF,I Freq,I_VA_real,I_VA_imag,I_VB_real,I_VB_imag,I_ VC_real,I_VC_imag,I_IA_real,I_IA_imag,I_IB_real,I_IB_imag,I_IC_real,I_IC_imag
3712075835.100000,0.156438,0.030133,0.001535,0.164192,0.030402,0.001613,0.176334,0.029648,0.001738,0.165681,0.030064,0.001629,178.282351,111.951152,-0.993393,89.111364,-41.951078,1.084212,167.970660,-8.330208,-2.135441,173.364120,-25.568589,2.917807,-0.000007,0.000045,3712075835.100000,69.582832,-1.509304,-36.067688,-59.475243,-33.813568,61.581776,69.787308,-1.504898,-0.000001,-0.000031,0.000046,-0.000021,0.000034,-0.000027,-0.000030,0.000004,49.999992,0.000032,3712075835.100000,69.559474,-1.615615,-36.152601,-59.398919,-33.696499,61.622180,69.763790,-1.618097,0.000012,-0.000008,0.000005,-0.000087,0.000005,0.000047,0.000041,0.000004,49.999999,-0.000013,65.000000,-6.951433,0.210694,3.657036,5.910823,3.324826,-6.185141,-0.000044,-0.000016,-0.000030,0.000071,0.000037,-0.000013
3712075835.120000,0.154811,0.033269,0.001512,0.161813,0.031825,0.001586,0.170505,0.032032,0.001674,0.162391,0.032368,0.001591,143.457610,-53.995414,-2.738550,110.024393,-42.663658,-1.467529,159.790101,-23.848884,-4.019040,145.100367,-54.712909,3.251068,-0.000367,-0.001334,3712075835.120000,69.584602,-1.510735,-36.069767,-59.475166,-33.810642,61.584843,69.788612,-1.507344,-0.000021,-0.000012,-0.000001,0.000025,-0.000010,-0.000030,-0.000018,0.000003,49.999687,-0.001334,3712075835.120000,69.559098,-1.615387,-36.152559,-59.398971,-33.696682,61.621631,69.763545,-1.617856,0.000053,0.000007,-0.000043,0.000003,-0.000022,0.000035,0.000038,-0.000010,50.000054,0.000000,65.000000,1.948069,-6.677043,-6.751137,1.651272,4.855393,5.072467,0.000053,-0.000001,0.000008,0.000007,0.000007,0.000027
3712075835.140000,0.154364,0.029217,0.001516,0.158458,0.026731,0.001562,0.168072,0.029723,0.001654,0.160316,0.028557,0.001577,33.651745,-13.524802,-0.332900,140.725597,-28.660443,1.907542,62.007973,-33.177806,0.652345,204.286618,4.703458,-3.013903,0.000144,-0.000963,3712075835.140000,69.582222,-1.510267,-36.069309,-59.471729,-33.808735,61.584248,69.786263,-1.508081,0.000026,-0.000026,0.000003,0.000021,0.000004,-0.000023,-0.000004,-0.000015,50.000141,-0.000985,3712075835.140000,69.559530,-1.615247,-36.152476,-59.399450,-33.696814,61.621766,69.763874,-1.617690,0.000038,-0.000018,0.000027,-0.000014,-0.000015,-0.000031,0.000006,0.000014,49.999998,-0.000021,65.000000,5.748475,3.916360,0.516331,-6.930964,-6.324438,3.050617,-0.000013,0.000020,0.000033,0.000030,-0.000007,-0.000037
3712075835.160000,0.156307,0.028493,0.001537,0.161749,0.028352,0.001592,0.174504,0.031733,0.001716,0.164218,0.029532,0.001615,169.961338,-16.662021,-2.369509,572.683668,522.381251,0.979461,159.564105,21.870765,1.595752,185.233376,34.643617,1.802450,0.000146,0.001501,3712075835.160000,69.582191,-1.509113,-36.068146,-59.473442,-33.812523,61.584007,69.787117,-1.505941,-0.000031,-0.000007,0.000028,0.000010,0.000016,-0.000035,-0.000011,0.000014,50.000126,0.001472,3712075835.160000,69.559971,-1.615575,-36.152545,-59.399098,-33.696122,61.622374,69.763991,-1.618179,0.000032,-0.000019,0.000004,-0.000003,-0.000029,-0.000013,0.000012,0.000006,49.999980,-0.000030,65.000000,-5.501088,4.257353,6.432181,2.633039,-0.946947,-6.956332,-0.000012,-0.000025,-0.000035,0.000001,0.000027,-0.000006
3712075835.180000,0.153604,0.031254,0.001504,0.161299,0.033858,0.001577,0.174679,0.035654,0.001710,0.163228,0.033591,0.001597,126.447272,12.232990,-1.272013,44.742545,44.674619,0.020490,42.290575,-10.858294,0.436361,112.098575,-50.304997,-4.702680,-0.000309,0.000754,3712075835.180000,69.583519,-1.511209,-36.070953,-59.475716,-33.813595,61.586346,69.789536,-1.507152,0.000030,-0.000019,0.000035,0.000011,-0.000007,-0.000042,-0.000013,-0.000003,49.999729,0.000754,3712075835.180000,69.559428,-1.615333,-36.152449,-59.398654,-33.696237,61.622096,69.763605,-1.618065,0.000024,0.000021,0.000024,0.000007,-0.000027,-0.000039,-0.000005,0.000027,50.000038,0.000000,65.000000,-2.349715,-6.547668,-4.492057,5.303726,6.908379,1.248800,0.000051,-0.000021,0.000016,-0.000035,0.000003,0.000011
3712075835.200000,0.151368,0.031002,0.001481,0.158661,0.030751,0.001556,0.169190,0.030783,0.001663,0.159762,0.030846,0.001567,269.454936,89.017699,-2.361714,50.168543,-48.966312,0.152969,88.429484,-57.401688,-1.082755,121.392508,-71.361453,-3.959583,0.000006,-0.000025,3712075835.200000,69.583145,-1.512452,-36.071095,-59.473518,-33.809925,61.584843,69.787758,-1.508782,0.000020,-0.000042,0.000015,0.000009,-0.000022,-0.000012,-0.000001,-0.000010,50.000019,-0.000040,3712075835.200000,69.559264,-1.615028,-36.152491,-59.399043,-33.697065,61.622028,69.763788,-1.617661,0.000008,0.000023,0.000032,0.000012,0.000001,-0.000059,-0.000023,0.000025,50.000013,-0.000015,65.000000,6.953141,-0.211702,-3.655976,-5.911601,-3.322994,6.183144,-0.000018,0.000030,-0.000011,0.000019,0.000017,0.000010
3712075835.220000,0.155515,0.030038,0.001526,0.162191,0.027922,0.001597,0.170532,0.027891,0.001682,0.162759,0.028618,0.001602,227.639408,45.959586,-2.350094,91.735224,-16.795584,1.034160,74.096577,-64.316039,-0.626109,141.498759,-44.627953,-2.249905,0.000292,0.000624,3712075835.220000,69.582939,-1.509871,-36.067833,-59.473492,-33.809803,61.582722,69.786507,-1.506666,0.000033,-0.000031,-0.000007,0.000032,-0.000018,-0.000013,0.000022,0.000001,50.000271,0.000603,3712075835.220000,69.559660,-1.615542,-36.152700,-59.399213,-33.696767,61.622320,69.764039,-1.617999,-0.000001,0.000031,0.000029,0.000027,-0.000020,-0.000058,-0.000026,0.000029,49.999978,-0.000022,65.000000,-1.946345,6.677918,6.752296,-1.650574,-4.853421,-5.071381,-0.000013,-0.000002,0.000001,0.000012,-0.000034,0.000008
3712075835.240000,0.158333,0.031591,0.001551,0.162776,0.031443,0.001597,0.172650,0.033399,0.001694,0.164610,0.032146,0.001614,204.706497,5.351678,-2.982958,202.081701,200.434999,-0.148670,73.157976,-67.648977,0.494700,50.071164,-44.313622,-0.313673,-0.000177,0.000721,3712075835.240000,69.583931,-1.508291,-36.068901,-59.474968,-33.811924,61.585487,69.788589,-1.506051,0.000034,-0.000034,0.000045,0.000027,0.000004,-0.000014,-0.000009,0.000018,49.999863,0.000719,3712075835.240000,69.559533,-1.615721,-36.152460,-59.398619,-33.696320,61.622082,69.763642,-1.618177,-0.000027,0.000037,0.000013,0.000011,-0.000010,-0.000045,-0.000026,0.000025,50.000039,-0.000002,65.000000,-5.749197,-3.914880,-0.516193,6.932274,6.323735,-3.048261,-0.000014,-0.000028,-0.000014,-0.000001,-0.000008,-0.000037
3712075835.260000,0.154540,0.029810,0.001516,0.157386,0.030457,0.001544,0.170875,0.034352,0.001674,0.160965,0.031550,0.001578,178.607341,-18.677790,-3.489992,155.973784,-31.056570,-2.338358,102.828491,-94.109184,-4.237220,108.452008,-91.516754,-3.052186,-0.000177,-0.001005,3712075835.260000,69.582619,-1.510170,-36.071426,-59.472794,-33.811176,61.586716,69.788177,-1.508188,0.000004,-0.000040,0.000020,-0.000016,0.000005,-0.000041,-0.000013,-0.000015,49.999866,-0.001015,3712075835.260000,69.559513,-1.615185,-36.152191,-59.398942,-33.696483,61.622047,69.763700,-1.617814,-0.000022,0.000045,-0.000004,0.000037,-0.000662,0.000250,0.000165,0.000157,50.000044,-0.000010,65.000000,5.499238,-4.257612,-6.432972,-2.633098,0.944915,6.956974,0.000028,0.000011,-0.000008,-0.000010,0.000697,-0.000281
3712075835.280000,0.153280,0.025550,0.001511,0.159006,0.027453,0.001566,0.173137,0.029186,0.001706,0.161843,0.027407,0.001595,118.819110,-67.529079,-4.221116,40.995599,39.788988,-0.083529,426.435331,396.452912,-0.720440,17.849197,-6.402617,0.172431,0.000325,-0.001403,3712075835.280000,69.579887,-1.510331,-36.069176,-59.471962,-33.811695,61.582783,69.785606,-1.506926,-0.000012,-0.000020,0.000031,0.000055,-0.000037,-0.000056,-0.000032,0.000014,50.000294,-0.001446,3712075835.280000,69.559753,-1.615063,-36.152337,-59.399099,-33.696729,61.622403,69.763994,-1.617778,-0.000036,0.000061,0.000019,0.000041,0.000002,-0.000013,-0.000031,0.000020,49.999969,-0.000043,65.000000,2.349435,6.546068,4.491787,-5.304755,-6.908994,-1.251061,-0.000037,0.000019,0.000015,0.000011,0.000014,-0.000010
