Timestamp,TVE_VA,ME_VA,PE_VA,TVE_VB,ME_VB,PE_VB,TVE_VC,ME_VC,PE_VC,TVE_Vp,ME_Vp,PE_Vp,TVE_IA,ME_IA,PE_IA,TVE_IB,ME_IB,PE_IB,TVE_IC,ME_IC,PE_IC,TVE_Ip,ME_Ip,PE_Ip,FE,RFE,Timestamp,PMU_VA_real,PMU_VA_imag,PMU_VB_real,PMU_VB_imag,PMU_VC_real,PMU_VC_imag,PMU_Vp_real,PMU_Vp_imag,PMU_IA_real,PMU_IA_imag,PMU_IB_real,PM_ IB_imag,PMU_IC_real,PMU_IC_imag,PMU_Ip_real,PMU_Ip_imag,PMU_FREQ,PMU_ROCOF,Timestamp,REF_VA_real,REF_VA_imag,REF_VB_real,REF_VB_imag,REF_VC_real,REF_VC_imag,REF_Vp_real,REF_Vp_imag,REF_IA_real,REF_IA_imag,REF_IB_real,REF_IB_imag,REF_IC_real,REF_IC_imag,REF_Ip_real,PMU_Ip_imag,REF_FREQ,REF_ROCOF
3729162418.240000,0.135193,0.035905,0.001303,0.131549,0.033526,0.001272,0.138259,0.034999,0.001337,0.135008,0.034809,0.001304,0.075020,0.013791,0.000737,0.083794,0.022457,0.000807,0.073715,0.022211,0.000703,0.077418,0.019506,0.000749,-0.000061,0.000307,3729162418.240000,69.562752,-1.567900,-36.097004,-59.419380,-33.745853,61.583664,69.758629,-1.562067,4.910271,-0.015195,-2.511932,-4.319494,-2.494205,4.352039,4.974368,-0.015607,49.999969,0.000255,3729162418.240000,69.535683,-1.657954,-36.160424,-59.353524,-33.651688,61.607176,69.732259,-1.652470,4.909581,-0.018813,-2.514853,-4.316495,-2.490592,4.352824,4.973385,-0.019329,50.000030,-0.000052
3729162418.260000,0.134288,0.035147,0.001296,0.130682,0.033584,0.001263,0.138907,0.035525,0.001343,0.134639,0.034754,0.001301,0.074934,0.012875,0.000738,0.082666,0.020658,0.000800,0.075330,0.021492,0.000722,0.077569,0.018382,0.000754,-0.000066,0.000884,3729162418.260000,69.561409,-1.568664,-36.098705,-59.418770,-33.747734,61.584309,69.758789,-1.562478,4.910239,-0.015176,-2.511905,-4.319458,-2.494227,4.352008,4.974339,-0.015587,49.999969,0.000789,3729162418.260000,69.534878,-1.658220,-36.161561,-59.353206,-33.653063,61.607678,69.732463,-1.652626,4.909594,-0.018798,-2.514842,-4.316555,-2.490549,4.352872,4.973411,-0.019332,50.000036,-0.000096
3729162418.280000,0.132944,0.035546,0.001281,0.130331,0.035170,0.001255,0.140553,0.035253,0.001360,0.134622,0.035320,0.001299,0.074126,0.011816,0.000732,0.082661,0.020250,0.000801,0.074228,0.021494,0.000710,0.076903,0.017892,0.000748,-0.000016,0.000760,3729162418.280000,69.561447,-1.570327,-36.100365,-59.420395,-33.749706,61.582371,69.759315,-1.562349,4.910271,-0.015255,-2.511910,-4.319438,-2.494204,4.352025,4.974345,-0.015628,50.000046,0.000714,3729162418.280000,69.534662,-1.658831,-36.162175,-59.354177,-33.654036,61.606507,69.732598,-1.652369,4.909678,-0.018846,-2.514861,-4.316549,-2.490577,4.352860,4.973442,-0.019344,50.000062,-0.000045
3729162418.300000,0.133876,0.037566,0.001285,0.131960,0.035877,0.001270,0.139887,0.032673,0.001360,0.135225,0.035364,0.001305,0.074814,0.011163,0.000740,0.082156,0.020871,0.000795,0.074903,0.022459,0.000714,0.077147,0.018214,0.000750,-0.000002,-0.001111,3729162418.300000,69.563393,-1.570075,-36.099129,-59.422104,-33.748058,61.579861,69.759254,-1.561680,4.910284,-0.015264,-2.511970,-4.319433,-2.494224,4.352015,4.974359,-0.015641,50.000076,-0.001111,3729162418.300000,69.535197,-1.658820,-36.161572,-59.354928,-33.653285,61.605571,69.732497,-1.652127,4.909723,-0.018894,-2.514876,-4.316535,-2.490554,4.352818,4.973440,-0.019366,50.000078,0.000000
3729162418.320000,0.134442,0.036025,0.001295,0.133685,0.034944,0.001290,0.137906,0.032279,0.001341,0.135334,0.034403,0.001309,0.076618,0.013260,0.000755,0.083685,0.021234,0.000809,0.074380,0.022056,0.000710,0.078125,0.018875,0.000758,-0.000053,-0.000912,3729162418.320000,69.562988,-1.568803,-36.096432,-59.421894,-33.745518,61.580593,69.758392,-1.561368,4.910342,-0.015191,-2.511922,-4.319489,-2.494207,4.351991,4.974376,-0.015594,49.999973,-0.000919,3729162418.320000,69.535848,-1.658290,-36.160429,-59.354534,-33.652074,61.605889,69.732299,-1.652089,4.909678,-0.018893,-2.514883,-4.316538,-2.490566,4.352802,4.973424,-0.019361,50.000027,-0.000006
3729162418.340000,0.134426,0.035401,0.001297,0.132804,0.034424,0.001282,0.137538,0.034478,0.001331,0.134930,0.034771,0.001304,0.075778,0.014256,0.000744,0.083641,0.021847,0.000807,0.074280,0.024019,0.000703,0.077789,0.020095,0.000751,-0.000105,-0.000313,3729162418.340000,69.562141,-1.568014,-36.096954,-59.420120,-33.745514,61.583759,69.758606,-1.562080,4.910355,-0.015179,-2.511913,-4.319473,-2.494184,4.352057,4.974390,-0.015608,49.999905,-0.000385,3729162418.340000,69.535434,-1.657618,-36.160679,-59.353348,-33.651899,61.607387,69.732264,-1.652435,4.909642,-0.018830,-2.514849,-4.316501,-2.490526,4.352763,4.973378,-0.019342,50.000010,-0.000071
3729162418.360000,0.134922,0.036664,0.001298,0.130574,0.034827,0.001258,0.139136,0.035411,0.001345,0.134889,0.035635,0.001301,0.074967,0.013600,0.000737,0.082408,0.021479,0.000796,0.075608,0.022153,0.000723,0.077594,0.019145,0.000752,-0.000040,0.000910,3729162418.360000,69.562157,-1.568235,-36.099651,-59.419102,-33.748016,61.584328,69.759346,-1.562474,4.910287,-0.015218,-2.511968,-4.319477,-2.494237,4.352047,4.974385,-0.015620,50.000004,0.000822,3729162418.360000,69.534568,-1.657932,-36.161791,-59.352963,-33.653219,61.607858,69.732405,-1.652622,4.909607,-0.018835,-2.514863,-4.316550,-2.490539,4.352884,4.973419,-0.019356,50.000044,-0.000088
3729162418.380000,0.133115,0.036179,0.001281,0.130533,0.034753,0.001258,0.141165,0.034427,0.001369,0.134949,0.035120,0.001303,0.075583,0.014219,0.000742,0.083149,0.021201,0.000804,0.077192,0.019822,0.000746,0.078615,0.018436,0.000764,-0.000043,0.000809,3729162418.380000,69.561836,-1.570000,-36.100346,-59.420101,-33.749943,61.581787,69.759232,-1.562116,4.910343,-0.015196,-2.511932,-4.319488,-2.494280,4.351960,4.974381,-0.015573,50.000038,0.000758,3729162418.380000,69.534611,-1.658494,-36.162499,-59.354013,-33.654032,61.606717,69.732647,-1.652414,4.909632,-0.018838,-2.514870,-4.316552,-2.490539,4.352957,4.973451,-0.019370,50.000081,-0.000051
3729162418.400000,0.133069,0.035688,0.001282,0.131410,0.034934,0.001267,0.139121,0.033365,0.001350,0.134536,0.034659,0.001300,0.075198,0.013749,0.000739,0.083751,0.020267,0.000813,0.077278,0.017559,0.000753,0.078734,0.017206,0.000768,-0.000066,-0.000328,3729162418.400000,69.562317,-1.570308,-36.098919,-59.421459,-33.747555,61.580494,69.758774,-1.562055,4.910385,-0.015230,-2.511917,-4.319467,-2.494233,4.351933,4.974370,-0.015593,49.999996,-0.000338,3729162418.400000,69.535431,-1.658873,-36.161520,-59.354954,-33.653139,61.605455,69.732516,-1.652149,4.909697,-0.018857,-2.514916,-4.316549,-2.490520,4.353045,4.973501,-0.019411,50.000062,-0.000009
3729162418.420000,0.134240,0.035508,0.001294,0.131732,0.034346,0.001272,0.137374,0.033366,0.001332,0.134452,0.034406,0.001300,0.075919,0.012752,0.000748,0.083723,0.021409,0.000809,0.076252,0.018767,0.000739,0.078584,0.017677,0.000766,-0.000025,-0.000335,3729162418.420000,69.562759,-1.568992,-36.097321,-59.420944,-33.745247,61.581455,69.758400,-1.562068,4.910364,-0.015180,-2.511920,-4.319479,-2.494179,4.351948,4.974363,-0.015593,50.000000,-0.000340,3729162418.420000,69.535980,-1.658441,-36.160428,-59.354611,-33.651939,61.605807,69.732319,-1.652151,4.909725,-0.018852,-2.514877,-4.316521,-2.490494,4.352973,4.973471,-0.019398,50.000025,-0.000005
