Timestamp,TVE_VA,ME_VA,PE_VA,TVE_VB,ME_VB,PE_VB,TVE_VC,ME_VC,PE_VC,TVE_Vp,ME_Vp,PE_Vp,TVE_IA,ME_IA,PE_IA,TVE_IB,ME_IB,PE_IB,TVE_IC,ME_IC,PE_IC,TVE_Ip,ME_Ip,PE_Ip,FE,RFE,Timestamp,PMU_VA_real,PMU_VA_imag,PMU_VB_real,PMU_VB_imag,PMU_VC_real,PMU_VC_imag,PMU_Vp_real,PMU_Vp_imag,PMU_IA_real,PMU_IA_imag,PMU_IB_real,PM_ IB_imag,PMU_IC_real,PMU_IC_imag,PMU_Ip_real,PMU_Ip_imag,PMU_FREQ,PMU_ROCOF,Timestamp,REF_VA_real,REF_VA_imag,REF_VB_real,REF_VB_imag,REF_VC_real,REF_VC_imag,REF_Vp_real,REF_Vp_imag,REF_IA_real,REF_IA_imag,REF_IB_real,REF_IB_imag,REF_IC_real,REF_IC_imag,REF_Ip_real,PMU_Ip_imag,REF_FREQ,REF_ROCOF
3728762237.980000,0.132331,0.034187,0.001278,0.129368,0.033332,0.001250,0.138654,0.032700,0.001347,0.133459,0.033403,0.001292,0.076467,0.010065,0.000758,0.084281,0.018780,0.000822,0.074835,0.017773,0.000727,0.078449,0.015580,0.000769,-0.000060,-0.001097,3728762237.980000,69.566139,-1.546337,-36.080692,-59.425049,-33.770878,61.571854,69.759438,-1.540033,4.907888,-0.015104,-2.511461,-4.319060,-2.493818,4.351178,4.973058,-0.015481,50.000019,-0.001109,3728762237.980000,69.540332,-1.634694,-36.142886,-59.360123,-33.676885,61.597152,69.734097,-1.629609,4.907382,-0.018823,-2.514536,-4.316185,-2.490212,4.352216,4.972270,-0.019301,50.000079,-0.000013
3728762238.000000,0.133077,0.034847,0.001284,0.130682,0.033447,0.001263,0.137618,0.033346,0.001335,0.133799,0.033874,0.001294,0.076497,0.011401,0.000756,0.085972,0.019726,0.000837,0.074286,0.020785,0.000713,0.078822,0.017384,0.000769,-0.000057,-0.000683,3728762238.000000,69.567131,-1.545996,-36.078857,-59.425976,-33.769314,61.572227,69.759575,-1.539748,4.908005,-0.015050,-2.511409,-4.319104,-2.493864,4.351336,4.973156,-0.015453,50.000004,-0.000693,3728762238.000000,69.540856,-1.634757,-36.141800,-59.360503,-33.675859,61.596713,69.733902,-1.629476,4.907432,-0.018760,-2.514526,-4.316149,-2.490242,4.352208,4.972278,-0.019273,50.000060,-0.000010
3728762238.020000,0.133304,0.034426,0.001288,0.130598,0.031869,0.001266,0.136859,0.033658,0.001326,0.133594,0.033317,0.001294,0.078762,0.014588,0.000774,0.085760,0.018206,0.000838,0.070815,0.017410,0.000686,0.078414,0.016769,0.000766,-0.000079,0.000212,3728762238.020000,69.566544,-1.545229,-36.077747,-59.424316,-33.768257,61.573669,69.758957,-1.539994,4.908196,-0.015004,-2.511353,-4.319072,-2.493722,4.351339,4.973178,-0.015469,49.999939,0.000182,3728762238.020000,69.540556,-1.634239,-36.141450,-59.359666,-33.675226,61.597671,69.733674,-1.629685,4.907467,-0.018800,-2.514513,-4.316180,-2.490302,4.352292,4.972331,-0.019275,50.000018,-0.000030
3728762238.040000,0.133304,0.033350,0.001290,0.129286,0.031659,0.001253,0.137445,0.034845,0.001329,0.133359,0.033296,0.001291,0.077724,0.013792,0.000765,0.083718,0.019123,0.000815,0.074795,0.016026,0.000731,0.078732,0.016354,0.000770,-0.000043,0.000677,3728762238.040000,69.565224,-1.544930,-36.079395,-59.423168,-33.769543,61.575237,69.759132,-1.540452,4.908255,-0.015084,-2.511426,-4.319062,-2.493900,4.351224,4.973203,-0.015448,49.999977,0.000607,3728762238.040000,69.539980,-1.634153,-36.142400,-59.359111,-33.675925,61.598609,69.733867,-1.629977,4.907565,-0.018835,-2.514465,-4.316189,-2.490321,4.352347,4.972377,-0.019274,50.000020,-0.000070
3728762238.060000,0.132752,0.034124,0.001283,0.129209,0.033928,0.001247,0.139474,0.034230,0.001352,0.133825,0.034089,0.001294,0.076242,0.011888,0.000753,0.084599,0.019253,0.000824,0.075786,0.020826,0.000729,0.078820,0.017493,0.000768,-0.000024,0.000858,3728762238.060000,69.565506,-1.545438,-36.081635,-59.424446,-33.771534,61.574070,69.759956,-1.540286,4.908243,-0.015134,-2.511437,-4.319082,-2.493932,4.351428,4.973277,-0.015489,50.000042,0.000818,3728762238.060000,69.539737,-1.634111,-36.143419,-59.359283,-33.676736,61.598583,69.734133,-1.629990,4.907647,-0.018828,-2.514510,-4.316181,-2.490242,4.352338,4.972393,-0.019307,50.000066,-0.000040
3728762238.080000,0.132230,0.033924,0.001278,0.130057,0.033578,0.001256,0.138901,0.031681,0.001352,0.133733,0.033056,0.001296,0.076878,0.010991,0.000761,0.086277,0.018405,0.000843,0.074361,0.018110,0.000721,0.079115,0.015895,0.000775,-0.000050,-0.000279,3728762238.080000,69.565811,-1.545973,-36.080658,-59.425617,-33.770470,61.571335,69.759270,-1.539838,4.908279,-0.015081,-2.511397,-4.319108,-2.493858,4.351326,4.973242,-0.015460,50.000038,-0.000288,3728762238.080000,69.540188,-1.634310,-36.143148,-59.360311,-33.676514,61.597428,69.734165,-1.629679,4.907727,-0.018813,-2.514573,-4.316195,-2.490268,4.352335,4.972438,-0.019311,50.000088,-0.000009
3728762238.100000,0.132905,0.034249,0.001284,0.130005,0.032260,0.001259,0.137612,0.031613,0.001339,0.133512,0.032703,0.001294,0.075500,0.011891,0.000746,0.086012,0.018531,0.000840,0.075019,0.019144,0.000725,0.078820,0.016671,0.000770,-0.000056,-0.001477,3728762238.100000,69.566307,-1.545253,-36.079037,-59.424980,-33.768986,61.571636,69.758820,-1.539714,4.908379,-0.015042,-2.511459,-4.319157,-2.493885,4.351346,4.973315,-0.015452,50.000004,-0.001477,3728762238.100000,69.540449,-1.634011,-36.142176,-59.360353,-33.675859,61.597328,69.733964,-1.629464,4.907782,-0.018700,-2.514619,-4.316247,-2.490251,4.352321,4.972472,-0.019280,50.000060,0.000000
3728762238.120000,0.133669,0.034651,0.001291,0.129778,0.031982,0.001258,0.137822,0.033093,0.001338,0.133763,0.033240,0.001295,0.075218,0.014179,0.000739,0.085125,0.018649,0.000830,0.073834,0.019216,0.000713,0.078061,0.017481,0.000761,-0.000051,-0.000187,3728762238.120000,69.566574,-1.544459,-36.078590,-59.424000,-33.768879,61.573448,69.759056,-1.539818,4.908511,-0.015075,-2.511500,-4.319191,-2.493870,4.351406,4.973390,-0.015483,49.999958,-0.000225,3728762238.120000,69.540426,-1.633686,-36.141732,-59.359598,-33.675339,61.598180,69.733823,-1.629645,4.907802,-0.018698,-2.514618,-4.316299,-2.490289,4.352346,4.972508,-0.019263,50.000009,-0.000038
3728762238.140000,0.132589,0.034559,0.001280,0.129881,0.032334,0.001258,0.137615,0.033679,0.001334,0.133372,0.033523,0.001291,0.074406,0.015033,0.000729,0.085192,0.017659,0.000833,0.075835,0.019537,0.000733,0.078467,0.017406,0.000765,-0.000078,0.001007,3728762238.140000,69.565964,-1.545539,-36.079327,-59.423439,-33.769665,61.574760,69.759323,-1.540475,4.908595,-0.015141,-2.511437,-4.319168,-2.493973,4.351408,4.973412,-0.015462,49.999931,0.000919,3728762238.140000,69.539896,-1.634006,-36.142349,-59.358821,-33.676148,61.599011,69.733900,-1.629965,4.907845,-0.018715,-2.514592,-4.316311,-2.490297,4.352384,4.972533,-0.019264,50.000010,-0.000088
3728762238.160000,0.132169,0.034801,0.001275,0.129175,0.033183,0.001248,0.138650,0.034085,0.001344,0.133345,0.034025,0.001289,0.075813,0.014221,0.000745,0.085138,0.018311,0.000831,0.073408,0.020136,0.000706,0.078074,0.017572,0.000761,-0.000023,0.000918,3728762238.160000,69.566048,-1.546391,-36.081009,-59.424007,-33.771099,61.574322,69.759911,-1.540663,4.908614,-0.015142,-2.511458,-4.319193,-2.493905,4.351505,4.973446,-0.015500,50.000042,0.000876,3728762238.160000,69.539820,-1.634506,-36.143160,-59.359228,-33.676851,61.598649,69.734140,-1.630034,4.907903,-0.018794,-2.514588,-4.316313,-2.490331,4.352388,4.972559,-0.019280,50.000065,-0.000042
3728762238.180000,0.132912,0.035313,0.001281,0.130239,0.034600,0.001255,0.138780,0.032714,0.001348,0.133977,0.034201,0.001295,0.077153,0.014079,0.000759,0.084525,0.020062,0.000821,0.071845,0.019201,0.000692,0.077796,0.017837,0.000757,-0.000012,0.000711,3728762238.180000,69.566635,-1.546112,-36.081009,-59.425789,-33.770931,61.572365,69.760025,-1.539995,4.908659,-0.015078,-2.511542,-4.319248,-2.493864,4.351500,4.973485,-0.015504,50.000072,0.000711,3728762238.180000,69.540040,-1.634657,-36.143076,-59.359909,-33.676855,61.597697,69.734122,-1.629787,4.907956,-0.018799,-2.514583,-4.316319,-2.490372,4.352389,4.972585,-0.019267,50.000085,0.000000
3728762238.200000,0.133188,0.034958,0.001285,0.131240,0.034255,0.001267,0.137106,0.032719,0.001331,0.133848,0.033975,0.001294,0.077226,0.016069,0.000755,0.086436,0.019997,0.000841,0.073938,0.020800,0.000709,0.079186,0.019053,0.000769,-0.000066,-0.000905,3728762238.200000,69.566872,-1.545368,-36.079338,-59.426147,-33.769051,61.572742,69.759727,-1.539811,4.908788,-0.015104,-2.511509,-4.319274,-2.493935,4.351526,4.973552,-0.015483,50.000000,-0.000905,3728762238.200000,69.540518,-1.634186,-36.142203,-59.360065,-33.676035,61.597488,69.733983,-1.629554,4.907987,-0.018808,-2.514637,-4.316298,-2.490329,4.352389,4.972591,-0.019302,50.000066,0.000000
