Timestamp,TVE_VA,ME_VA,PE_VA,TVE_VB,ME_VB,PE_VB,TVE_VC,ME_VC,PE_VC,TVE_Vp,ME_Vp,PE_Vp,TVE_IA,ME_IA,PE_IA,TVE_IB,ME_IB,PE_IB,TVE_IC,ME_IC,PE_IC,TVE_Ip,ME_Ip,PE_Ip,FE,RFE,Timestamp,PMU_VA_real,PMU_VA_imag,PMU_VB_real,PMU_VB_imag,PMU_VC_real,PMU_VC_imag,PMU_Vp_real,PMU_Vp_imag,PMU_IA_real,PMU_IA_imag,PMU_IB_real,PM_ IB_imag,PMU_IC_real,PMU_IC_imag,PMU_Ip_real,PMU_Ip_imag,PMU_FREQ,PMU_ROCOF,Timestamp,REF_VA_real,REF_VA_imag,REF_VB_real,REF_VB_imag,REF_VC_real,REF_VC_imag,REF_Vp_real,REF_Vp_imag,REF_IA_real,REF_IA_imag,REF_IB_real,REF_IB_imag,REF_IC_real,REF_IC_imag,REF_Ip_real,PMU_Ip_imag,REF_FREQ,REF_ROCOF
3728765361.980000,0.132769,0.033569,0.001284,0.129469,0.033326,0.001251,0.138918,0.033650,0.001348,0.133731,0.033510,0.001294,0.072945,0.012474,0.000719,0.082917,0.022942,0.000797,0.074952,0.015633,0.000733,0.076889,0.017087,0.000750,-0.000066,0.000050,3728765361.980000,69.565475,-1.545200,-36.081593,-59.428619,-33.772160,61.574619,69.761406,-1.539409,4.907991,-0.015206,-2.511565,-4.318945,-2.493897,4.351133,4.973079,-0.015534,50.000015,0.000024,3728765361.980000,69.540089,-1.633995,-36.143855,-59.363656,-33.677820,61.599346,69.735987,-1.629163,4.907367,-0.018731,-2.514428,-4.315953,-2.490317,4.352280,4.972217,-0.019258,50.000081,-0.000026
3728765362.000000,0.133244,0.034887,0.001286,0.130252,0.034090,0.001257,0.138518,0.032295,0.001347,0.134006,0.033755,0.001297,0.072974,0.011708,0.000720,0.082450,0.022514,0.000793,0.073754,0.017118,0.000717,0.076331,0.017179,0.000744,-0.000038,0.000070,3728765362.000000,69.566902,-1.545508,-36.080700,-59.430233,-33.770832,61.572647,69.761414,-1.539040,4.908020,-0.015223,-2.511553,-4.318993,-2.493911,4.351177,4.973115,-0.015531,50.000038,0.000050,3728765362.000000,69.540597,-1.634381,-36.143048,-59.364599,-33.677000,61.598180,69.735820,-1.628944,4.907434,-0.018756,-2.514411,-4.316028,-2.490363,4.352220,4.972248,-0.019226,50.000076,-0.000020
3728765362.020000,0.133773,0.034571,0.001292,0.131963,0.033595,0.001276,0.136723,0.032302,0.001328,0.134154,0.033480,0.001299,0.073972,0.011226,0.000731,0.082073,0.022496,0.000789,0.072534,0.018682,0.000701,0.076078,0.017472,0.000740,-0.000051,-0.000317,3728765362.020000,69.566681,-1.544559,-36.078514,-59.429913,-33.769016,61.573780,69.760902,-1.538859,4.908101,-0.015175,-2.511549,-4.318949,-2.493863,4.351268,4.973143,-0.015550,49.999985,-0.000317,3728765362.020000,69.540586,-1.633878,-36.142172,-59.363887,-33.676319,61.598684,69.735497,-1.628922,4.907537,-0.018761,-2.514391,-4.315994,-2.490348,4.352201,4.972261,-0.019229,50.000036,-0.000000
3728765362.040000,0.134601,0.033807,0.001303,0.130418,0.032488,0.001263,0.137340,0.034215,0.001330,0.134129,0.033504,0.001299,0.073456,0.010353,0.000727,0.081256,0.021896,0.000782,0.074370,0.017864,0.000722,0.076257,0.016747,0.000744,-0.000059,-0.000232,3728765362.040000,69.565620,-1.543531,-36.078918,-59.427723,-33.769760,61.575916,69.760727,-1.539140,4.908153,-0.015219,-2.511576,-4.318937,-2.493903,4.351271,4.973171,-0.015564,49.999969,-0.000286,3728765362.040000,69.540042,-1.633597,-36.142197,-59.362827,-33.676320,61.599695,69.735305,-1.629181,4.907633,-0.018786,-2.514404,-4.316025,-2.490316,4.352293,4.972326,-0.019260,50.000028,-0.000054
3728765362.060000,0.133796,0.033881,0.001294,0.129511,0.032990,0.001252,0.139093,0.033689,0.001349,0.134145,0.033518,0.001299,0.074409,0.009581,0.000738,0.080895,0.023467,0.000774,0.076126,0.018243,0.000739,0.076978,0.017142,0.000750,-0.000042,0.001273,3728765362.060000,69.565231,-1.543983,-36.080765,-59.427155,-33.771858,61.575661,69.761017,-1.539270,4.908152,-0.015209,-2.511649,-4.318987,-2.493924,4.351327,4.973217,-0.015577,49.999992,0.001203,3728765362.060000,69.539614,-1.633455,-36.143226,-59.362345,-33.677399,61.600420,69.735585,-1.629321,4.907669,-0.018829,-2.514402,-4.316029,-2.490253,4.352375,4.972352,-0.019305,50.000035,-0.000070
3728765362.080000,0.132811,0.034003,0.001284,0.130042,0.033389,0.001257,0.139316,0.033438,0.001352,0.134069,0.033604,0.001298,0.075173,0.011741,0.000742,0.081057,0.023202,0.000777,0.075023,0.018109,0.000728,0.076985,0.017760,0.000749,-0.000026,0.000052,3728765362.080000,69.565483,-1.545310,-36.081001,-59.428478,-33.772377,61.574596,69.761299,-1.539231,4.908280,-0.015180,-2.511669,-4.319018,-2.493854,4.351347,4.973268,-0.015591,50.000038,0.000016,3728765362.080000,69.539797,-1.634049,-36.143583,-59.363270,-33.677823,61.599610,69.735809,-1.629210,4.907692,-0.018822,-2.514439,-4.316065,-2.490234,4.352373,4.972372,-0.019313,50.000064,-0.000035
3728765362.100000,0.133619,0.035142,0.001289,0.131262,0.033509,0.001269,0.138766,0.032581,0.001349,0.134552,0.033738,0.001302,0.074799,0.012992,0.000737,0.081835,0.023136,0.000785,0.076176,0.018744,0.000738,0.077565,0.018446,0.000753,-0.000011,-0.001326,3728765362.100000,69.566589,-1.544766,-36.079731,-59.429501,-33.771233,61.573605,69.761276,-1.538678,4.908390,-0.015175,-2.511637,-4.319063,-2.493905,4.351277,4.973305,-0.015546,50.000061,-0.001326,3728765362.100000,69.540103,-1.633857,-36.143002,-59.363778,-33.677188,61.599024,69.735686,-1.628979,4.907740,-0.018788,-2.514445,-4.316092,-2.490225,4.352301,4.972374,-0.019289,50.000072,0.000000
3728765362.120000,0.133750,0.034189,0.001293,0.131143,0.032153,0.001271,0.137823,0.031890,0.001341,0.134245,0.032747,0.001302,0.073458,0.012655,0.000724,0.081935,0.023255,0.000786,0.075793,0.020382,0.000730,0.076997,0.018856,0.000746,-0.000103,-0.000583,3728765362.120000,69.566101,-1.544061,-36.078365,-59.428471,-33.769608,61.573708,69.760353,-1.538707,4.908455,-0.015192,-2.511675,-4.319053,-2.493934,4.351328,4.973346,-0.015564,49.999935,-0.000583,3728765362.120000,69.540272,-1.633439,-36.142261,-59.363473,-33.676291,61.599280,69.735455,-1.628978,4.907822,-0.018741,-2.514482,-4.316075,-2.490250,4.352260,4.972395,-0.019273,50.000038,-0.000000
3728765362.140000,0.132349,0.033361,0.001281,0.130313,0.031586,0.001264,0.137436,0.032840,0.001334,0.133378,0.032599,0.001293,0.073774,0.011726,0.000728,0.080232,0.022078,0.000771,0.073315,0.019601,0.000706,0.075672,0.017844,0.000735,-0.000098,0.000092,3728765362.140000,69.565201,-1.544575,-36.078682,-59.427109,-33.769531,61.575397,69.760185,-1.539501,4.908476,-0.015164,-2.511704,-4.318965,-2.493860,4.351394,4.973337,-0.015610,49.999928,0.000035,3728765362.140000,69.539967,-1.633110,-36.142357,-59.362705,-33.676280,61.600173,69.735403,-1.629177,4.907888,-0.018736,-2.514479,-4.316074,-2.490298,4.352302,4.972437,-0.019264,50.000025,-0.000057
3728765362.160000,0.132821,0.033342,0.001285,0.129276,0.031662,0.001253,0.138308,0.033842,0.001341,0.133484,0.032953,0.001293,0.072877,0.012117,0.000719,0.082480,0.022974,0.000792,0.074515,0.018160,0.000723,0.076568,0.017846,0.000745,-0.000029,0.001518,3728765362.160000,69.565033,-1.544699,-36.080421,-59.426804,-33.771278,61.575867,69.760757,-1.539669,4.908544,-0.015186,-2.511658,-4.319030,-2.493930,4.351395,4.973385,-0.015574,50.000019,0.001455,3728765362.160000,69.539804,-1.633576,-36.143422,-59.362746,-33.677290,61.600246,69.735728,-1.629353,4.907937,-0.018711,-2.514500,-4.316047,-2.490332,4.352405,4.972484,-0.019273,50.000048,-0.000063
